iter	Passed	Remaining
244	425	1311
245	426	1307
246	427	1302
247	428	1298
248	431	1301
249	432	1297
250	433	1292
251	434	1288
252	434	1283
253	435	1279
254	437	1277
255	438	1273
256	439	1269
257	440	1265
258	441	1262
259	442	1259
260	443	1255
261	444	1251
262	445	1247
263	445	1243
264	446	1238
265	447	1235
266	448	1232
267	449	1228
268	450	1225
269	452	1222
270	453	1218
271	453	1214
272	454	1210
273	455	1206
274	456	1202
275	456	1198
276	458	1197
277	460	1195
278	461	1191
279	462	1188
280	464	1188
281	465	1184
282	466	1181
283	467	1177
284	468	1174
285	468	1170
286	469	1166
287	470	1163
288	471	1161
289	472	1157
290	473	1153
291	474	1150
292	476	1148
293	477	1145
294	477	1142
295	478	1138
296	479	1134
297	480	1131
298	482	1130
299	483	1127
300	483	1123
301	484	1120
302	487	1121
303	488	1118
304	489	1115
305	490	1112
306	491	1108
307	491	1105
308	494	1105
309	495	1102
310	496	1099
311	496	1095
312	498	1093
313	499	1091
314	500	1088
315	501	1085
316	502	1082
317	503	1078
318	503	1075
319	505	1073
320	506	1071
321	507	1068
322	509	1068
323	510	1065
324	511	1063
325	512	1060
326	513	1057
327	514	1054
328	515	1050
329	516	1049
330	517	1046
331	518	1043
332	519	1039
333	520	1038
334	522	1037
335	523	1034
336	524	1031
337	525	1028
338	526	1025
339	527	1023
340	528	1021
341	529	1018
342	530	1015
343	531	1012
344	533	1012
345	534	1010
346	535	1007
347	535	1004
348	536	1001
349	537	998
350	538	996
351	539	993
352	540	990
353	541	988
354	542	985
355	544	984
356	544	981
357	546	979
358	547	976
359	548	974
360	548	971
361	549	968
362	550	966
363	552	965
364	553	962
365	554	960
366	555	958
367	556	956
368	557	954
369	558	951
370	559	948
371	560	946
372	562	946
373	564	944
374	564	941
375	565	939
376	566	936
377	568	935
378	569	932
379	570	930
380	571	927
381	573	927
382	574	925
383	575	923
384	576	920
385	577	919
386	578	916
387	579	914
388	580	912
389	581	909
390	582	907
391	583	904
392	584	903
393	585	901
394	586	898
395	587	896
396	589	894
397	590	893
398	591	891
399	592	888
400	593	886
401	594	883
402	594	881
403	597	881
404	598	879
405	599	877
406	600	874
407	601	872
408	602	870
409	603	868
410	604	866
411	605	863
412	605	861
413	607	860
414	608	858
415	609	856
416	610	853
417	611	852
418	613	850
419	613	847
420	614	845
421	615	843
422	616	840
423	617	838
424	619	837
425	621	836
426	622	834
427	623	833
428	624	831
429	625	829
430	626	827
431	627	824
432	628	822
433	629	820
434	630	819
435	631	817
436	632	814
437	633	812
438	635	811
439	636	809
440	637	807
441	638	805
442	638	803
443	639	801
444	640	798
445	642	797
446	643	796
447	644	794
448	645	791
449	648	792
450	649	790
451	650	788
452	651	786
453	651	784
454	652	781
455	654	781
456	655	779
457	656	777
458	657	775
459	659	773
460	660	771
461	661	769
462	661	767
463	662	765
464	663	763
465	664	761
466	666	760
467	667	758
468	668	756
469	669	754
470	669	752
471	671	750
472	672	749
